z [m],T [K],M [kg/m2/s],Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0.020062499999999997,300.08404274324425,0.4280810415090343,4.343244557659461e-05,1.2378019628628486e-18,1.3850049554424481e-11,0.22012956143687992,9.66405950371179e-13,6.52776168573167e-06,1.4787641233635287e-08,9.127352001607804e-09,1.995490206562842e-47,1.8042389520589234e-35,2.249907959394094e-20,1.1078846362131203e-21,4.0944798074581925e-10,0.0551793993474403,1.0681135749180606e-06,9.242561521911966e-08,1.2543015465506123e-19,1.1857391412569619e-08,2.2120077181010697e-21,3.8531192648429055e-12,1.8862895627615923e-09,1.2703404576882996e-32,2.935816649229635e-10,1.889298538222047e-23,2.21915917652857e-09,2.3902983860764087e-16,3.70392870466486e-09,4.03276914934705e-21,7.17266065701755e-11,3.86507518952679e-14,2.4890820423307777e-16,3.8776985436118495e-19,5.068923780684751e-12,2.098847785537637e-12,4.010322723978469e-27,5.5151137446561605e-11,8.708549858734566e-11,1.5062757725706744e-13,2.1435507257236583e-13,4.756262493271845e-33,5.3691393714478004e-12,1.0635709561995448e-14,2.5450647829512635e-35,1.7034614248961845e-13,1.5894008931175168e-15,1.6881799077089759e-12,5.61450444589082e-15,0.7246398738938968,0.0,8.979635264788713e-14,6.317573695457393e-12,1.6641474081192615e-18,3.668308923364965e-11
0.020249999999999997,300.3331938818412,0.4280810415090343,7.93192115027218e-05,2.8230792540195733e-17,4.2545761979828025e-11,0.2201123638257931,1.4022699851217552e-11,2.5825196490750765e-05,6.248074127345163e-08,3.8726065033204065e-08,6.103197334347131e-45,1.762851343293801e-32,1.242189798584366e-18,6.320149702213536e-20,1.6122273998563581e-09,0.05516691311100866,4.519542945415978e-06,4.883126471654795e-07,7.153918523397802e-18,6.3197867425671e-08,1.6156558467636403e-19,5.962657477556907e-11,1.021978814991647e-08,9.511082468385726e-31,1.4815204563750266e-09,1.4342041397500287e-21,1.1555769651861715e-08,5.007551181363973e-15,2.0677864724887307e-08,7.723186579848623e-20,4.340840925170115e-10,2.362160090676986e-13,1.0134353920555084e-15,4.15537040412687e-18,1.502297596051068e-11,8.472657405797354e-12,9.239436996315032e-26,2.347186205773666e-10,4.234289473219393e-10,8.030498511808648e-13,9.061222452362474e-13,3.640954662674024e-31,2.9046901053740577e-11,4.601642409277292e-14,2.4863130109988685e-32,9.03417158849488e-13,1.1553519740810803e-14,8.951529641614589e-12,2.3297050759268057e-14,0.7246103593069564,0.0,9.148561073989631e-14,4.4105357877527644e-11,2.6833218355388587e-17,2.237617151261196e-10
0.020437499999999997,301.36596658559677,0.4280810415090343,0.00014804074570840887,7.182031122017439e-16,1.3699241857489629e-10,0.22005364728719554,1.8836532051771586e-10,0.0001058254598221561,2.7385523228948146e-07,1.6982372257763462e-07,1.4830680263349554e-41,1.8175409828261225e-29,6.588755840093993e-17,3.403691709720861e-18,6.473392935722091e-09,0.055123749856978876,1.9808547782626297e-05,2.6661385905995106e-06,4.896647514766009e-16,3.472797535727863e-07,1.1916208870536707e-17,8.79467030978055e-10,5.7193869783862445e-08,7.307270225126567e-29,7.73077601435855e-09,1.0577328036510107e-19,6.219483400342825e-08,1.330532796256374e-13,1.1919704454384002e-07,2.4932570470337968e-18,2.709483858393952e-09,1.4768133563231198e-12,4.124521130912073e-15,5.733889398873274e-17,4.609834204734199e-11,3.5424227080216056e-11,2.453062437820699e-24,1.0390261423837427e-09,2.1242054579133973e-09,4.4184334420336995e-12,3.975750281368257e-12,2.945514525080683e-29,1.6216990594330673e-10,2.4639932396555733e-13,2.530755458557193e-29,4.9511310524408225e-12,6.657125471970056e-14,4.905672127731545e-11,1.20589434965408e-13,0.7245452091051023,0.0,1.1913946168240853e-13,3.168399376316372e-10,4.72540069741421e-16,1.4075678384684176e-09
0.020531249999999997,303.0915926411777,0.4280810415090343,0.00020585621374176607,5.3024690271131025e-15,2.7456606878791894e-10,0.21996117766074952,9.030664142758861e-10,0.00023966396332359823,6.542116272485592e-07,4.007428903006339e-07,6.543501594611724e-39,1.2378054072078211e-27,6.88361716935995e-16,3.588051786354707e-17,1.4221018339678712e-08,0.055058560453037635,4.703343200338683e-05,7.414003487385803e-06,6.433265402365063e-15,9.6617340403931e-07,1.605102311094096e-16,4.870667329258882e-09,1.6193472171802628e-07,1.0970849127873642e-27,2.079458449693072e-08,1.4433164599293919e-18,1.711222687303244e-07,1.379145648014042e-12,3.4503481244323286e-07,2.7630121789851988e-17,8.329825563655047e-09,4.541138165915835e-12,9.321058808844407e-15,3.9127927992115316e-16,8.626474463511506e-11,8.13497625888208e-11,1.9450036270916314e-23,2.507932666872193e-09,5.512073282233303e-09,1.2354893808843153e-11,9.439194671683539e-12,4.568012330339647e-28,4.582944079796873e-10,6.950905587481189e-13,1.7039853068661087e-27,1.3806656578217216e-11,1.869382024247283e-13,1.3679819052124136e-10,3.328698594435695e-13,0.7244775313951726,0.0,2.280106049070771e-13,1.086224684619912e-09,2.709188045605496e-15,4.3531665313498395e-09
0.020578124999999996,304.95532228749266,0.4280810415090343,0.0002445264840222281,1.683257173970874e-14,4.1402221007674143e-10,0.21986081523811307,2.1469635387175812e-09,0.0003843844689088962,1.0918676074802476e-06,6.592272281114616e-07,2.264610679735802e-37,1.3650431408986387e-26,2.543420189010047e-15,1.3353468402819332e-16,2.2211104124196735e-08,0.05499162043488603,7.796323075157391e-05,1.374867677483652e-05,2.8198752989159678e-14,1.7894572509812107e-06,7.128360752957039e-16,1.3577693051963133e-08,3.041945518881766e-07,5.55435336975441e-27,3.7643834654215045e-08,6.548372166185673e-18,3.148701229260904e-07,5.494243794219303e-12,6.589487119635468e-07,1.2174854922402703e-16,1.6636205314275098e-08,9.069923822138848e-12,1.4792216091586033e-14,1.3944845859374964e-15,1.2214739222500024e-10,1.3173340739246908e-10,6.664373372649364e-23,4.224373277543198e-09,9.694046432518811e-09,2.3003667963099165e-11,1.5642932475197332e-11,2.3556035987758733e-27,8.597239487010509e-10,1.3066015775297592e-12,1.857865102254614e-26,2.5656035956064455e-11,3.47998505534313e-13,2.542030172560945e-10,6.163799041440983e-13,0.7244220038119823,0.0,4.391462108464505e-13,2.3579415096308278e-09,7.885761040364314e-15,8.733530481004968e-09
0.020624999999999998,308.24149552515155,0.4280810415090343,0.0002917423127423086,5.639424288108601e-14,6.520447264925137e-10,0.21967991523450345,5.024171158646311e-09,0.0006397528787242,1.906356417719976e-06,1.1276013740689863e-06,8.904555221886125e-36,1.6188232763437644e-25,9.533656485906275e-15,5.067965007375862e-16,3.5844647103567973e-08,0.05487720426789019,0.00013486115237903214,2.7056917169622388e-05,1.2910778781936018e-13,3.5132524710889367e-06,3.3017932659554456e-15,3.884061101367786e-08,6.07404574132514e-07,3.297836489229202e-26,7.205422594240604e-08,3.1838327483582297e-17,6.140627787159352e-07,2.068386299871758e-11,1.341652984342276e-06,5.928540342999668e-16,3.5658432644818455e-08,1.9441115149706744e-11,2.4152303761160107e-14,5.057963090231735e-15,1.7662450849654114e-10,2.2172020455211173e-10,2.5490514401487725e-22,7.466947406799558e-09,1.7914096872800052e-08,4.548216644656145e-11,2.705170555085707e-11,1.4137483241868855e-26,1.7138968849581698e-09,2.6137160019631254e-12,2.1578576412273455e-25,5.061128593465475e-11,6.871977149227192e-13,5.01461982821036e-10,1.2125821111009e-12,0.724340116283453,0.0,1.0318441809714356e-12,5.566013794387718e-09,2.6062479177536633e-14,1.8818699264720677e-08
0.020671875,313.986328874476,0.4280810415090343,0.00034909666545998065,2.0232630226963564e-13,1.077919090127776e-09,0.21935355410618837,1.153340777990704e-08,0.0010860960991423835,3.420971273387474e-06,1.961343259741017e-06,4.0333510686386875e-34,2.081547575373204e-24,3.587652027004614e-14,1.9476957571338877e-15,5.946194038762377e-08,0.05468222813545594,0.00023874824680826016,5.4768408839321747e-05,5.951292378994024e-13,7.0770532235502875e-06,1.5349620440553532e-14,1.1183625735280037e-07,1.2472620131196075e-06,2.404108198607129e-25,1.4172768810714598e-07,1.6326847033465315e-16,1.2311975011062786e-06,7.598523726667894e-11,2.8129696597292794e-06,3.025664850399283e-15,7.879174984540234e-08,4.2957706135419754e-11,4.022423573340063e-14,1.9347285940270952e-14,2.5880440780406696e-10,3.809818309360192e-10,1.1449490945312676e-21,1.3626479970221906e-08,3.3800974218895506e-08,9.251375375544282e-11,4.786493924482692e-11,1.0202421040083107e-25,3.5134324707208647e-09,5.37978024106029e-12,2.6730206338232393e-24,1.0270566736377662e-10,1.3952801167751242e-12,1.0176174790054896e-09,2.456066923822076e-12,0.7242172447439634,0.0,2.7330643214181647e-12,1.358167950144086e-08,9.618410815015213e-14,4.1813737468916135e-08
0.0206953125,318.4363889509581,0.4280810415090343,0.0003822393987856323,4.137494873763081e-13,1.4389030876939054e-09,0.21909262306727845,1.7778337268363232e-08,0.0014312691077191387,4.6697262910619665e-06,2.6073689213962213e-06,3.3047004366059016e-33,8.430046712471058e-24,7.261250120813678e-14,4.001436926274649e-15,7.869805338006566e-08,0.05453393823727826,0.000322251933954026,7.965107119184331e-05,1.3259471727237312e-12,1.024341669207745e-05,3.4343726290636615e-14,1.98970085545564e-07,1.827793082694052e-06,7.5999323860732195e-25,2.0281894979978416e-07,3.9514100939719595e-16,1.7807598743182632e-06,1.56863446456753e-10,4.173569163649587e-06,7.2653528822881e-15,1.2044688969311185e-07,6.566779202185222e-11,5.2713733823255e-14,4.2860648365592263e-14,3.152286865945784e-10,5.054908127730136e-10,2.7703775148952262e-21,1.8842880027903214e-08,4.7019737621491955e-08,1.3492004655364152e-10,6.457258097193352e-11,3.1739580757964533e-25,5.1439506459558466e-09,7.895399865733014e-12,1.052486718996588e-23,1.495855434924035e-10,2.0324854632041352e-12,1.4821062006904191e-09,3.575290895284995e-12,0.7241319443505423,0.0,4.86920584858722e-12,2.201175842988616e-08,2.0384927496183104e-13,6.413529330013648e-08
0.020718749999999998,324.4729977925914,0.4280810415090343,0.00041866000607720494,8.832195226707461e-13,1.967029093431109e-09,0.21872915565848694,2.7427877442852432e-08,0.0018984028125674306,6.448294936687256e-06,3.4813032986840697e-06,3.0100455398980964e-32,3.650246041084052e-23,1.4999596153694006e-13,8.430870907941353e-15,1.0651826311106319e-07,0.05433518804790218,0.000438820813788266,0.00011744141886900687,2.9939781756380865e-12,1.5009821504716005e-05,7.780256430698372e-14,3.5693376344952785e-07,2.7159114098511575e-06,2.726797629066328e-24,2.939196684740594e-07,9.9593306178557e-16,2.6099155032774717e-06,3.2353012450408553e-10,6.287992077564325e-06,1.795127144563159e-14,1.8738256599705285e-07,1.0215971172198651e-10,6.972004217579424e-14,9.334967740105083e-14,3.8530088686945653e-10,6.754474923785492e-10,7.371948764968082e-21,2.644062614337357e-08,6.590937199249548e-08,1.9953520354794273e-10,8.787217004196878e-11,1.107568142882203e-24,7.635524209339217e-09,1.1750719850583056e-11,4.3847924426402207e-23,2.209092882953429e-10,3.001939323761947e-12,2.188784548194914e-09,5.278591681011896e-12,0.7240245629806509,0.0,9.067543503101848e-12,3.6518589615426375e-08,4.602832735568999e-13,1.0015299723992939e-07
0.020742187499999995,332.59670896033106,0.4280810415090343,0.0004584969770228433,1.9908997345670104e-12,2.7612663026751104e-09,0.21822624367572097,4.239815470403642e-08,0.002524709990721454,8.972832756447308e-06,4.643736603355391e-06,3.135052337640045e-31,1.7182924804178073e-22,3.1779964929657444e-13,1.8320044149600314e-14,1.481062415184122e-07,0.054070605631703496,0.0006003288021490433,0.00017431237101906785,6.811099395628327e-12,2.210083041037569e-05,1.7732722499283896e-13,6.394511199862336e-07,4.0606924896436266e-06,1.131942293945584e-23,4.285804795528415e-07,2.6160670561757176e-15,3.849346732710406e-06,6.652499147939537e-10,9.543046357597574e-06,4.5363455342304043e-14,2.9382950486435353e-07,1.601900719717982e-10,9.298691273762278e-14,2.0319813465916985e-13,4.717940401011947e-10,9.053699707972369e-10,2.2055521969486617e-20,3.7532099418629275e-08,9.246100185288399e-08,2.970946713556333e-10,1.201106990363088e-10,4.399821391999454e-24,1.1403999588503174e-08,1.7598392977428444e-11,1.959617584589148e-22,3.28437631206157e-10,4.463497349062848e-12,3.2541750126064646e-09,7.848720364818894e-12,0.7238902103754062,0.0,1.7458188601201184e-11,6.122575732038275e-08,1.1172497841899673e-12,1.5768167973041445e-07
0.020765624999999996,343.41899009811215,0.4280810415090343,0.0005018170686539897,4.78663345111166e-12,3.994319937871475e-09,0.21753670386475707,6.583199815812436e-08,0.003354589695912324,1.253901724611323e-05,6.15647503242909e-06,3.837498210220835e-30,8.951488290090189e-22,6.956454976527356e-13,4.13864275533794e-14,2.1279993692916733e-07,0.05372150100158815,0.0008219765932796748,0.00025891085137655026,1.5563269116191404e-11,3.2494684348456644e-05,4.053359183423074e-13,1.135751985531492e-06,6.070495380800044e-06,5.54340191133572e-23,6.254212853671841e-07,7.184692167616846e-15,5.680380850308954e-06,1.3629044005983722e-09,1.4494413056120846e-05,1.1681652051923042e-13,4.6089531314094765e-07,2.512616823723461e-10,1.2507326291995396e-13,4.4185046549557077e-13,5.777420959561909e-10,1.2129172808995559e-09,7.561745931088017e-20,5.3763695403613214e-08,1.289763113301241e-07,4.4269826197511e-10,1.6427666249614102e-10,2.0199313390396293e-23,1.703020711211388e-08,2.6352425881605083e-11,9.527241035590896e-22,4.88685730798863e-10,6.641639402234868e-12,4.8419017506796965e-09,1.1685179064364839e-11,0.7237240004001344,0.0,3.458438276267655e-11,1.0275564618531537e-07,2.9482424860335374e-12,2.4839216065801804e-07
